Jaar indiening,Project Besluit VVO Type,Gebouw Functie kort,Handeling,[Project Indiening DatumautoCalendarQuarter],Aantal projecten,Aantal gebouwen,Aantal gebouwen (met gebouwinfo),Aantal wooneenheden,Aantal (studenten)kamers,Nuttige woonoppervlakte (m²),Nuttige oppervlakte kamerwoningen (m²),Bovengronds nuttige oppervlakte (m²),Bovengronds grond oppervlakte (m²),Gesloopte oppervlakte (m²),Gesloopte volume (m³),Date
2018,-,eengezinswoning,Nieuwbouw,Q4,571,1155,1155,1118,0,276325.06,0,326262.02,190031.31,0.0,0.0,2018-10-01
2018,-,eengezinswoning,Nieuwbouw,Q2,456,762,762,730,0,292676.99,0,213734.91,296325.28,0.0,0.0,2018-04-01
2018,Gemeente,meergezinswoning,Verbouwen of hergebruik,Q3,489,494,495,2193,0,294320.76,0,384459.88,194330.47,0.0,0.0,2018-07-01
2018,-,meergezinswoning,Nieuwbouw,Q3,208,255,255,2971,0,330253.36,0,450698.21,285281.72,0.0,0.0,2018-07-01
2018,Gemeente,meergezinswoning,Verbouwen of hergebruik,Q4,630,644,646,2704,0,376900.0,0,395615.23,170225.57,0.0,0.0,2018-10-01
2018,Gemeente,meergezinswoning,Verbouwen of hergebruik,Q2,521,535,535,2474,0,427773.9,0,422031.13,251246.23,0.0,0.0,2018-04-01
2018,-,meergezinswoning,Nieuwbouw,Q2,205,267,267,2846,0,485835.01,0,426780.96,142443.78,0.0,0.0,2018-04-01
2018,-,meergezinswoning,Nieuwbouw,Q4,266,348,348,4125,0,541897.03,0,742559.66,437745.65,0.0,0.0,2018-10-01
2018,Gemeente,meergezinswoning,Nieuwbouw,Q1,270,319,319,2538,0,542285.86,0,379471.95,108301.17,0.0,0.0,2018-01-01
2018,Gemeente,eengezinswoning,Verbouwen of hergebruik,Q1,2308,2395,2399,2231,0,781111.88,0,751801.68,535787.55,0.0,0.0,2018-01-01
2018,Gemeente,eengezinswoning,Verbouwen of hergebruik,Q3,2648,3037,3042,2836,0,782309.36,0,821826.91,643443.75,0.0,0.0,2018-07-01
2018,Gemeente,eengezinswoning,Nieuwbouw,Q1,1560,2122,2122,2041,0,791826.68,0,786728.07,442950.76,0.0,0.0,2018-01-01
2018,Gemeente,meergezinswoning,Nieuwbouw,Q2,544,637,637,5232,0,937068.59,0,1292219.99,503827.39,0.0,0.0,2018-04-01
2018,Gemeente,meergezinswoning,Nieuwbouw,Q3,526,633,633,5792,0,953357.93,0,874265.29,750332.55,0.0,0.0,2018-07-01
2018,Gemeente,eengezinswoning,Verbouwen of hergebruik,Q4,3499,3663,3670,3452,0,976826.45,0,918039.28,568628.83,0.0,0.0,2018-10-01
2018,Gemeente,eengezinswoning,Nieuwbouw,Q3,2515,3617,3617,3513,0,994675.61,0,1010412.4,516650.34,0.0,0.0,2018-07-01
2018,Gemeente,eengezinswoning,Verbouwen of hergebruik,Q2,3130,3452,3455,3247,0,1056513.11,0,1446173.84,565614.52,0.0,0.0,2018-04-01
2018,Gemeente,meergezinswoning,Nieuwbouw,Q4,710,833,833,7721,0,1164129.04,0,1268981.34,831540.38,0.0,0.0,2018-10-01
2018,Gemeente,eengezinswoning,Nieuwbouw,Q4,3708,5528,5528,5387,0,1324273.15,0,1293339.38,834212.24,0.0,0.0,2018-10-01
2018,Gemeente,eengezinswoning,Nieuwbouw,Q2,2795,3825,3825,3690,0,1444780.27,0,1142302.42,915105.17,0.0,0.0,2018-04-01
2019,Gemeente,kamerwoning,Nieuwbouw,Q3,7,7,7,0,73,0.0,49776,163886.5,106678.73,0.0,0.0,2019-07-01
2019,Gemeente,kamerwoning,Nieuwbouw,Q2,3,4,4,0,100,0.0,27816,3894.7,1875.63,0.0,0.0,2019-04-01
2019,Gemeente,kamerwoning,Verbouwen of hergebruik,Q3,28,32,32,0,476,0.0,20826,16982.5,6739.22,0.0,0.0,2019-07-01
2019,-,eengezins- en kamerwoning,Nieuwbouw,Q3,2,2,2,0,622,0.0,19506,20022.0,1230.0,0.0,0.0,2019-07-01
2019,-,kamerwoning,Nieuwbouw,Q3,6,6,6,0,158,0.0,18451,21523.03,3806.47,0.0,0.0,2019-07-01
2019,Gemeente,kamerwoning,Verbouwen of hergebruik,Q4,39,39,39,0,1477,0.0,15491,22723.22,12138.29,0.0,0.0,2019-10-01
2019,-,kamerwoning,Nieuwbouw,Q4,3,4,4,0,589,0.0,15349,345975.78,105434.29,0.0,0.0,2019-10-01
2019,Gemeente,eengezins- en kamerwoning,Nieuwbouw,Q4,2,2,2,0,315,0.0,9867,10099.36,693.7,0.0,0.0,2019-10-01
2019,Gemeente,kamerwoning,Nieuwbouw,Q4,13,13,13,0,286,0.0,8977,11877.81,4627.53,0.0,0.0,2019-10-01
